steps,grad_similarity
1005,0.011199079
1006,0.007830598
1007,0.055470269
1008,-0.016751269
1009,0.031283747
1010,0.000503046
1011,0.038158156
1012,-0.027554158
1013,0.033178926
1014,0.022027897
1015,0.002868208
1016,0.01211098
1017,0.033208817
1018,-0.062455457
1019,-0.01198066
1020,0.008537634
1021,0.072935514
1022,-0.060474295
1023,-0.02606591
1024,-0.014845523
1025,0.039436199
1026,-0.018929429
1027,0.040653851
1028,0.041999616
1029,0.040141258
1030,-0.034648485
1031,-0.044553526
1032,-0.069359817
1033,0.048583426
1034,-0.015862228
1035,0.044321299
1036,-0.023595026
1037,-0.016115947
1038,0.000743216
1039,0.056033544
1040,-0.00995587
1041,0.036000315
1042,-0.071945772
1043,-0.038949266
1044,-0.045675889
1045,-0.13489759
1046,-0.041190233
1047,-0.012551745
1048,0.026064832
1049,-0.011979662
1050,-0.001192814
1051,0.018548118
1052,0.052807927
1053,-0.035679884
1054,-0.006671932
1055,-0.002744193
1056,-0.034053821
1057,0.011695252
1058,0.046533179
1059,0.001979487
1060,-0.025335772
1061,-0.00561358
1062,-0.013109823
1063,-0.032319181
1064,-0.026861826
1065,-0.059368085
1066,0.030357229
1067,0.078622453
1068,0.025329547
1069,0.014633234
1070,0.025359932
1071,0.002950176
1072,-0.083868153
1073,-0.020536864
1074,0.084060311
1075,9.69E-05
1076,-0.005459639
1077,0.021947281
1078,0.053085376
1079,-0.005016768
1080,-0.032935809
1081,-0.046667773
1082,-0.021846661
1083,-0.046879016
1084,-0.043429311
1085,0.022131346
1086,0.072721377
1087,0.071294613
1088,0.026924096
1089,0.028250579
1090,0.018467359
1091,0.021760989
1092,0.070960671
1093,0.013002903
1094,0.05291453
1095,0.005019429
1096,0.049721919
1097,0.041270651
1098,-0.009677076
1099,0.017973946
1100,9.84E-05
1101,-0.016681349
1102,-0.056730781
1103,0.019793838
1104,-0.000758303
1105,0.052870154
1106,0.020543376
1107,-0.02808887
1108,-0.002993055
1109,0.006476596
1110,0.006776179
1111,0.023286371
1112,0.017018596
1113,0.038109325
1114,-0.040165052
1115,-0.007578675
1116,-0.035497773
1117,-0.003907622
1118,0.096839726
1119,-0.021622056
1120,-0.007973221
1121,-0.013222602
1122,-0.020119313
1123,-0.040944934
1124,-0.031725742
1125,0.037081301
1126,0.038001459
1127,-0.02500879
1128,0.029939167
1129,0.040848292
1130,-0.002517317
1131,0.010461084
1132,0.001636688
1133,0.004097845
1134,0.059121512
1135,-0.027831439
1136,0.056701895
1137,0.012351607
1138,0.007062373
1139,0.006609074
1140,0.015838992
1141,-0.004898503
1142,-0.00827648
1143,-0.047042686
1144,-0.011698171
1145,-0.01069965
1146,0.010788624
1147,0.016358295
1148,-0.01943299
1149,-0.00292411
1150,0.004929232
1151,-0.008142225
1152,-0.043306872
1153,-0.010383768
1154,-0.006259035
1155,0.020961732
1156,0.023949575
1157,0.003466352
1158,-0.023824209
1159,-0.022960518
1160,0.045766208
1161,-0.111493565
1162,-0.026347708
1163,-0.002324853
1164,-0.003934778
1165,-0.060337245
1166,-0.018822411
1167,-0.062161777
1168,0.03376276
1169,0.046851352
1170,0.03665689
1171,0.008339163
1172,-0.004155058
1173,-0.005464499
1174,0.012389542
1175,-0.022520658
1176,0.004489235
