steps,grad_similarity
703,0.144320786
704,0.408636183
705,0.566102982
706,0.048835035
707,-0.321876824
708,-0.485250294
709,-0.189278737
710,0.474051356
711,-0.062495328
712,0.558857083
713,-0.80350852
714,-0.313812107
715,-0.421014845
716,0.489664942
717,0.312105089
718,-0.127996266
719,0.204685986
720,-0.094063714
721,0.266389787
722,0.169743448
723,0.565814257
724,-0.194721639
725,0.746647418
726,0.080265567
727,-0.251750469
728,0.463445663
729,-0.449267507
730,-0.292102873
731,0.405321896
732,0.194131374
733,-0.227949992
734,-0.293944061
735,-0.172261074
736,-0.165418953
737,-0.410389692
738,-0.545750022
739,0.288171828
740,0.42663613
741,0.095435426
742,-0.022698555
743,0.280612826
744,0.17392908
745,0.554322183
746,-0.043847974
747,0.345602751
748,0.43426168
749,0.002524041
750,-0.214942873
751,-0.353501678
752,0.378938586
753,0.300283074
754,-0.22904475
755,0.273680389
756,0.462109506
757,0.376857519
758,-0.156168193
759,0.297355175
760,-0.112085618
761,-0.033522964
762,0.610275447
763,0.102507532
764,0.280904651
765,0.14544715
766,-0.225464895
767,0.00313301
768,0.210527301
769,0.651658893
770,-0.160959572
771,0.341959536
772,0.136379197
773,-0.199370503
774,0.262584507
775,0.145422265
776,0.190335751
777,-0.463643014
778,-0.324701577
779,-0.00903029
780,0.303752035
781,-0.431967854
782,-0.409077883
783,-0.458216131
784,0.493441045
785,0.113719612
786,0.255159527
787,0.009846762
788,0.071339585
789,0.524515867
790,-0.097670503
791,-0.197178513
792,-0.445153892
793,-0.192892551
794,0.587583542
795,-0.529692531
796,-0.610702455
797,-0.558907747
798,0.293270826
799,-0.26139015
800,0.231137872
801,-0.124956369
802,0.09131135
803,0.396364748
804,0.063651741
805,0.070686713
806,0.120015092
807,0.216565311
808,-0.062499598
809,0.038919806
810,0.1814266
811,-0.199272901
812,0.491678566
813,0.756758332
814,0.325459778
815,0.166498691
816,-0.163729131
817,0.052012891
818,0.486302376
819,-0.40604943
820,0.190434948
821,0.317261606
822,0.160627127
823,0.050311901
824,-0.382863164
825,0.241377816
826,-0.371626794
827,-0.300989151
828,-0.335342079
829,0.059000812
830,0.022230551
831,-0.06254749
832,0.260359049
833,-0.048554175
834,-0.259810805
835,0.334841788
836,0.399431914
837,-0.006024299
838,-0.246888965
839,-0.408073008
840,-0.282018065
841,0.263268322
842,-0.165213645
843,-0.089405753
844,-0.072043151
845,-0.023459285
846,0.248681754
847,0.541095793
848,-0.203597918
849,-0.210335597
850,0.001016267
851,0.035753779
852,-0.33841601
853,-0.473789603
854,0.207734391
855,-0.242041647
856,-0.056740634
857,-0.121485248
858,0.287600756
859,0.401042938
860,0.543524027
861,0.513098001
862,0.337097585
863,-0.219444945
864,-0.012542438
865,-0.51591897
866,0.571775258
867,0.038451605
868,0.007730972
869,0.23917985
870,-0.465488374
871,-0.096517123
872,-0.518251896
873,-0.022509541
874,-0.300001174
875,-0.282334507
876,-0.180578157
877,-0.014167175
878,-0.375064492
879,0.452272892
880,-0.24013707
881,0.0411117
882,0.105618805
883,0.184177369
884,-0.280591607
885,0.232259437
886,-0.119265653
887,-0.456848919
888,0.7348153
889,-0.119610593
890,0.18174842
891,0.083368793
892,0.415390074
893,-0.211826161
894,-0.015367374
895,0.239394516
896,0.263424724
897,0.004444398
898,0.000396833
899,-0.135713756
900,0.133641303
901,0.454538703
902,-0.23077333
903,-0.313780159
904,0.157775775
905,0.185443193
906,0.039303325
907,0.154465213
908,-0.056932665
909,0.152578861
910,-0.144070208
911,-0.368965924
912,-0.112121604
913,0.181284562
914,-0.067134917
915,-0.187030718
916,-0.094205871
917,0.039301082
918,0.528356552
919,-0.369722903
920,0.328174591
921,-0.255659521
922,0.194100782
923,-0.400400788
924,-0.481150657
925,0.062368847
926,-0.004879291
927,-0.408385307
928,0.660839319
929,-0.306197047
930,0.043128699
931,0.293608665
932,0.118269764
933,0.519153714
934,-0.263237566
935,0.13708438
936,0.105031431
937,0.243313104
938,-0.224246413
939,-0.45495522
940,0.445342332
941,-0.242266417
942,0.018040232
943,-0.338452429
944,0.324771196
945,-0.053293116
946,-0.334450424
947,-0.65206033
948,-0.263533652
949,-0.164272547
950,0.775923371
951,0.09562543
952,0.361545503
953,0.209155709
954,0.275511265
